T,FK-3kW,FX-400,FX-1000
535,1.1965,0.374219,0.873913
536,1.1965,0.364844,0.873913
537,0.992,0.3539065,0.85
538,0.992,0.3414065,0.7869565
539,0.815,0.3125,0.726087
540,0.6275,0.282812,0.6608695
541,0.6275,0.270312,0.5956525
542,0.4705,0.270312,0.5673915
543,0.4705,0.270312,0.5673915
544,0.4705,0.270312,0.5673915
545,0.6275,0.282812,0.626087
546,0.6275,0.282812,0.6608695
547,0.6275,0.2960935,0.6608695
548,0.6275,0.3125,0.6934785
549,0.815,0.3125,0.726087
550,0.815,0.3125,0.726087
551,0.815,0.3125,0.726087
552,0.6275,0.3125,0.6934785
553,0.6275,0.2960935,0.6608695
554,0.6275,0.282812,0.626087
555,0.4705,0.270312,0.5673915
556,0.4705,0.270312,0.5673915
557,0.4705,0.25625,0.5673915
558,0.4705,0.25625,0.5673915
559,0.4705,0.25625,0.530435
560,0.3715,0.2414065,0.4739135
561,0.3715,0.228125,0.4478265
562,0.3715,0.228125,0.4173915
563,0.2895,0.215625,0.3847825
564,0.2895,0.2015625,0.3282605
565,0.2895,0.1875,0.3
566,0.2895,0.1875,0.3
567,0.2895,0.2015625,0.3282605
568,0.2895,0.2015625,0.3565215
569,0.3715,0.228125,0.4173915
570,0.4705,0.2414065,0.4978265
571,0.4705,0.270312,0.5673915
572,0.6275,0.282812,0.626087
573,0.6275,0.282812,0.626087
574,0.6275,0.270312,0.5956525
575,0.4705,0.270312,0.5673915
576,0.4705,0.25625,0.530435
577,0.4705,0.25625,0.530435
578,0.4705,0.2414065,0.4978265
579,0.4705,0.2414065,0.4978265
580,0.4705,0.2414065,0.4978265
581,0.4705,0.25625,0.530435
582,0.6275,0.270312,0.5956525
583,0.6275,0.2960935,0.6608695
584,0.815,0.3125,0.726087
585,0.815,0.3125,0.726087
586,0.815,0.3289065,0.7869565
587,0.815,0.3289065,0.7869565
588,0.815,0.3125,0.726087
589,0.6275,0.2960935,0.6608695
590,0.6275,0.270312,0.5956525
591,0.4705,0.25625,0.5673915
592,0.4705,0.2414065,0.4978265
593,0.4705,0.2414065,0.4978265
594,0.4705,0.2414065,0.4978265
595,0.4705,0.25625,0.530435
596,0.4705,0.270312,0.5673915
597,0.6275,0.270312,0.5956525
598,0.6275,0.282812,0.6608695
599,0.6275,0.2960935,0.6608695
600,0.6275,0.2960935,0.6608695
601,0.6275,0.282812,0.6608695
602,0.6275,0.282812,0.626087
603,0.6275,0.270312,0.5956525
604,0.4705,0.270312,0.5673915
605,0.4705,0.25625,0.5673915
606,0.4705,0.25625,0.530435
607,0.4705,0.25625,0.5673915
608,0.6275,0.270312,0.5956525
609,0.6275,0.270312,0.5956525
610,0.4705,0.270312,0.5673915
611,0.4705,0.25625,0.530435
612,0.3715,0.2414065,0.4739135
613,0.3715,0.215625,0.3847825
614,0.2895,0.1875,0.3
615,0.208,0.175,0.2717395
616,0.2895,0.1875,0.3
617,0.2895,0.1875,0.3
618,0.2895,0.2015625,0.3282605
619,0.2895,0.2015625,0.3565215
620,0.2895,0.215625,0.3847825
621,0.3715,0.215625,0.3847825
622,0.3715,0.215625,0.3847825
623,0.2895,0.2015625,0.3565215
624,0.2895,0.2015625,0.3282605
625,0.2895,0.1875,0.3
626,0.2895,0.1875,0.3
627,0.2895,0.1875,0.3
628,0.2895,0.1875,0.3
629,0.2895,0.1875,0.3
630,0.2895,0.1875,0.3
631,0.2895,0.1875,0.3
632,0.208,0.175,0.2717395
633,0.208,0.175,0.2456525
634,0.208,0.163281,0.2217395
635,0.1435,0.1359375,0.1891305
636,0.099,0.100781,0.1326085
637,0.099,0.074219,0.1086955
638,0.058,0.050781,0.076087
639,0.0305,0.028125,0.058696
640,0.0305,0.028125,0.052174
641,0.02,0.015625,0.047826
642,0,0.009375,0.043478
643,0,0.00625,0.030435
644,0,0.004688,0.030435
645,0,0.004688,0.021739
646,0,0.004688,0.021739
647,0,0.00625,0.030435
648,0.02,0.011719,0.043478
649,0.02,0.015625,0.047826
650,0.0305,0.028125,0.052174
651,0.0305,0.039062,0.0652175
652,0.058,0.050781,0.076087
653,0.058,0.061719,0.0913045
654,0.058,0.061719,0.0913045
655,0.058,0.061719,0.0913045
656,0.099,0.074219,0.1086955
657,0.099,0.088281,0.1086955
658,0.099,0.088281,0.121739
659,0.099,0.100781,0.1326085
660,0.1435,0.121875,0.1695655
661,0.1435,0.121875,0.1695655
662,0.1435,0.1359375,0.1891305
663,0.1435,0.1359375,0.1891305
664,0.1435,0.1359375,0.204348
665,0.1435,0.1359375,0.204348
666,0.208,0.150781,0.204348
667,0.208,0.150781,0.204348
668,0.208,0.163281,0.2217395
669,0.208,0.163281,0.2456525
670,0.208,0.175,0.2456525
671,0.2895,0.1875,0.3
672,0.2895,0.2015625,0.3282605
673,0.2895,0.2015625,0.3565215
674,0.2895,0.215625,0.3847825
675,0.2895,0.215625,0.3847825
676,0.2895,0.2015625,0.3565215
677,0.2895,0.1875,0.3
678,0.208,0.175,0.2456525
679,0.208,0.163281,0.2217395
680,0.1435,0.1359375,0.204348
681,0.1435,0.121875,0.1695655
682,0.099,0.088281,0.121739
683,0.099,0.088281,0.1086955
684,0.099,0.088281,0.1086955
685,0.099,0.088281,0.121739
686,0.099,0.100781,0.1326085
687,0.099,0.1109375,0.15
688,0.1435,0.1359375,0.1891305
689,0.1435,0.1359375,0.204348
690,0.208,0.163281,0.2456525
691,0.208,0.175,0.2717395
692,0.2895,0.2015625,0.3565215
693,0.3715,0.215625,0.3847825
694,0.3715,0.228125,0.4478265
695,0.3715,0.2414065,0.4739135
696,0.3715,0.2414065,0.4739135
697,0.3715,0.228125,0.4478265
698,0.3715,0.215625,0.3847825
699,0.3715,0.215625,0.3847825
700,0.3715,0.215625,0.3847825
701,0.3715,0.215625,0.3847825
702,0.3715,0.228125,0.4173915
703,0.3715,0.228125,0.4173915
704,0.3715,0.228125,0.4173915
705,0.3715,0.215625,0.3847825
706,0.2895,0.2015625,0.3565215
707,0.2895,0.1875,0.3
708,0.2895,0.1875,0.3
709,0.208,0.175,0.2456525
710,0.208,0.175,0.2456525
711,0.208,0.175,0.2456525
712,0.208,0.163281,0.2456525
713,0.208,0.163281,0.2456525
714,0.208,0.163281,0.2456525
715,0.208,0.175,0.2456525
716,0.208,0.175,0.2717395
717,0.208,0.175,0.2717395
718,0.2895,0.1875,0.3
719,0.2895,0.1875,0.3
720,0.2895,0.1875,0.3
721,0.2895,0.2015625,0.3282605
722,0.3715,0.215625,0.3847825
723,0.3715,0.228125,0.4478265
724,0.3715,0.228125,0.4173915
725,0.2895,0.2015625,0.3565215
726,0.2895,0.2015625,0.3565215
727,0.2895,0.215625,0.3847825
728,0.2895,0.215625,0.3847825
729,0.2895,0.2015625,0.3282605
