T,Sunergy-370W,Luxen-450W
807,0.32018287,0.393864613
808,0.279117466,0.34278212
809,0.209888954,0.257100903
810,0.147414895,0.180186424
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0.008654705,0.010533532
825,0.092203059,0.112487472
826,0.18021796,0.220497334
827,0.251244445,0.30819425
828,0.303168454,0.37266757
829,0.332121225,0.408800414
830,0.337124,0.415086376
831,0.319533507,0.393138
832,0.279742433,0.343599487
833,0.219179984,0.268579707
834,0.139501435,0.170470428
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0.008603554,0.010470812
849,0.052300534,0.063730073
850,0.121423426,0.148265869
851,0.237389172,0.290981439
852,0.304797007,0.374542841
853,0.303659718,0.373195066
854,0.307336103,0.377816846
855,0.319273728,0.392737117
856,0.278008568,0.341426555
857,0.217166944,0.266082636
858,0.136290686,0.166533294
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0.009046982,0.011011015
873,0.094212343,0.114939032
874,0.183271821,0.224207345
875,0.255091056,0.312850258
876,0.30760167,0.378000862
877,0.336667608,0.41424844
878,0.341726016,0.420590009
879,0.323224147,0.39749215
880,0.255014814,0.312785444
881,0.220893196,0.270610036
882,0.145370082,0.177653499
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0.009483151,0.011542476
897,0.087709951,0.106994989
898,0.114670664,0.140004071
899,0.24525574,0.300738354
900,0.288818903,0.354768792
901,0.328216332,0.403853287
902,0.339230382,0.417694495
903,0.321469434,0.395552436
904,0.28067473,0.344757424
905,0.220522152,0.270226252
906,0.115644129,0.14120357
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0.006944174,0.008451912
921,0.058072784,0.070782419
922,0.145170453,0.177404294
923,0.216032026,0.264626483
924,0.30804647,0.378617865
925,0.298162795,0.366374344
926,0.341647657,0.420570368
927,0.323128726,0.397497838
928,0.282461258,0.346891276
929,0.221534144,0.271460474
930,0.149380247,0.182594309
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0.009354019,0.011386061
945,0.085603155,0.104414474
946,0.181929959,0.222548012
947,0.255828709,0.313695746
948,0.309174822,0.379793657
949,0.33881197,0.416654145
950,0.343747019,0.422801619
951,0.325080301,0.399563563
952,0.283376147,0.347766707
953,0.221287533,0.271000139
954,0.147467157,0.180194653
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0.009293162,0.011311926
969,0.070631675,0.086109888
970,0.182636597,0.223374828
971,0.255495648,0.313226969
972,0.301895492,0.370734325
973,0.336582501,0.413904898
974,0.342278562,0.421028711
