T,Sunergy-370W,Luxen-450W
854,0.290262675,0.360196554
855,0.248603903,0.307636248
856,0.19219707,0.23697684
857,0.124421615,0.152802103
858,0.042253555,0.051669359
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0.089016989,0.108812571
873,0.169419093,0.207918098
874,0.23644966,0.29139706
875,0.282802464,0.34977916
876,0.2986564,0.370150627
877,0.247026872,0.305471044
878,0.213977258,0.264198881
879,0.257020111,0.318088637
880,0.167830002,0.206639865
881,0.112525503,0.138119574
882,0.024672648,0.030146268
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0.034374533,0.041938109
897,0.103928099,0.127244496
898,0.130671789,0.160323864
899,0.206635256,0.254618548
900,0.269241673,0.333164907
901,0.309420192,0.384139385
902,0.292540661,0.362867972
903,0.25587783,0.316577053
904,0.19875177,0.245048504
905,0.12507732,0.153573011
906,0.039700038,0.048537366
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0.090132523,0.110177034
921,0.169902714,0.208580795
922,0.235216583,0.290035088
923,0.281466864,0.348445017
924,0.303461568,0.376612441
925,0.305149748,0.379016577
926,0.288491694,0.357987922
927,0.251440222,0.311224397
928,0.195178003,0.240733827
929,0.122947924,0.151027753
930,0.042188049,0.051605286
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0.093863268,0.114739645
945,0.174622342,0.214341089
946,0.240790147,0.296812984
947,0.284463112,0.351881444
948,0.308699279,0.382828399
949,0.311748195,0.38700145
950,0.277518628,0.343944452
951,0.185588718,0.228872251
952,0.13325796,0.163877257
953,0.095448059,0.117109868
954,0.02797505,0.034195038
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0.091137885,0.11131598
969,0.171466476,0.210279718
970,0.237542493,0.292520223
971,0.284838808,0.352074894
972,0.308327259,0.382111208
973,0.31077786,0.385583643
974,0.290990719,0.360806028
975,0.253363348,0.313461959
976,0.19680633,0.24265406
977,0.117172074,0.143845873
978,0.042449572,0.051912618
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0.092998353,0.113624816
993,0.174202352,0.213722597
994,0.240038175,0.295738889
995,0.284548252,0.351865997
996,0.307469707,0.381188431
997,0.309556156,0.384216275
